id,date,agency,entity_name,entity_dba,cms_or_case_id,url,document_kind,entity_type_hint,allegation_types,product_classes,excerpt,confidence,full_text_source,cluster,needs_fda_html_repull
fda-prime-sciences-721805-2026-03-31,2026-03-31,FDA_CDER,Prime Sciences,,721805,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prime-sciences-721805-03312026,warning_letter,RUO,unapproved_new_drug|intended_use_despite_ruo|bac_water_injection_pairing|coded_glp_aliases,cagrilintide|retatrutide|semaglutide|tirzepatide|mazdutide|bacteriostatic_water,Despite statements… laboratory research purposes only… evidence obtained from your website establishes that your products are intended to be drugs for human use.,full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-lovega-pink-pony-721088-2026-03-31,2026-03-31,FDA_CDER,Lovega LLC,Pink Pony Peptides,721088,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lovega-llc-dba-pink-pony-peptides-721088-03312026,warning_letter,RUO,unapproved_new_drug|intended_use_despite_ruo|bac_water_injection_pairing|coded_glp_aliases,tirzepatide|retatrutide|bacteriostatic_water,The sale of these products together demonstrates that you intend for your Bacteriostatic Water to be used in combination for injection.,full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-gram-peptides-721806-2026-03-31,2026-03-31,FDA_CDER,Gram Peptides,,721806,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gram-peptides-721806-03312026,warning_letter,RUO,unapproved_new_drug|intended_use_despite_ruo|bac_water_injection_pairing|coded_glp_aliases,retatrutide|tirzepatide|bacteriostatic_water,"Claims re appetite suppression, weight management, glucose handling cited as intended-use evidence.",full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-mile-high-compounds-721600-2026-03-31,2026-03-31,FDA_CDER,Mile High Compounds LLC,,721600,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mile-high-compounds-llc-721600-03312026,warning_letter,RUO,unapproved_new_drug|intended_use_despite_ruo|bac_water_injection_pairing|coded_glp_aliases,semaglutide|tirzepatide|retatrutide|bacteriostatic_water,Forum Peptide Cheat Sheet dosing cited as intended-use evidence for GLP-3 RT.,full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-pekcura-labs-721709-2026-03-31,2026-03-31,FDA_CDER,PekCura Labs,,721709,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pekcura-labs-721709-03312026,warning_letter,RUO,unapproved_new_drug|intended_use_despite_ruo|bac_water_injection_pairing|coded_glp_aliases,semaglutide|tirzepatide|retatrutide|cagrilintide_tirzepatide_blend|bacteriostatic_water,Clinical-trial body-weight / HbA1c claim language cited as intended use.,full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-formpour-722215-2026-03-31,2026-03-31,FDA_CDER,FormPour,,722215,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/formpour-722215-03312026,warning_letter,other,unapproved_new_drug|oral_or_device_glp_knockoff,semaglutide_microneedle_patch,eBay store review Dec 2025; product treated as unapproved new drug under 505(a).,excerpt-only,,2026-03-31_ruo_wave,True
fda-fantasy-face-722228-2026-03-31,2026-03-31,FDA_CDER,"Guangzhou Huli Technology Co., Ltd.",Fantasy Face,722228,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangzhou-huli-technology-co-ltd-dba-fantasy-face-722228-03312026,warning_letter,other,unapproved_new_drug|oral_or_device_glp_knockoff,glp1_oral_solution,Metabolism Support / Weight management Blood Sugar Balance / Ideal Body Shaping claims.,full-text,https://www.safemedicines.org/wp-content/uploads/2026/04/FDA-research-chemical-warnings-posted-4-7-2026.pdf,2026-03-31_ruo_wave,True
fda-weightcare-721478-2026-02-20,2026-02-20,FDA_CDER,Weightless Medical LLC,WeightCare,721478,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/weightless-medical-llc-dba-weightcare-721478-02202026,warning_letter,telehealth_clinic,misbranding_compounded_promo|false_compounder_identity,compounded_semaglutide|compounded_tirzepatide,Representations that WeightCare is the compounder of these drug products are false or misleading.,excerpt-only,,2026-02-20_compounded_marketing,True
ftc-nextmed-final-order-2025-12-03,2025-12-03,FTC,"Southern Health Solutions, Inc.",Next Medical / NextMed,nextmed,https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-approves-final-order-against-telehealth-provider-nextmed-over-charges-it-used-deceptive,final_order,telehealth_clinic,deceptive_pricing|unsubstantiated_weight_loss_claims|fake_testimonials|fake_or_manipulated_reviews|hidden_membership_terms|cancel_refund_obstruction,telehealth_glp1_programs,"Final consent order: $150k consumer redress; bans deceptive cost claims, unsubstantiated typical weight-loss results, fake/manipulated reviews.",full-text,https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-approves-final-order-against-telehealth-provider-nextmed-over-charges-it-used-deceptive,2025_ftc_nextmed,False
ftc-nextmed-complaint-2025-07-14,2025-07-14,FTC,"Southern Health Solutions, Inc.",Next Medical / NextMed,nextmed,https://www.ftc.gov/news-events/news/press-releases/2025/07/ftc-takes-action-against-telemedicine-firm-nextmed-over-charges-it-used-misleading-prices-fake,administrative_complaint,telehealth_clinic,deceptive_pricing|unsubstantiated_weight_loss_claims|fake_testimonials|fake_or_manipulated_reviews|hidden_membership_terms|unauthorized_billing_or_efta|cancel_refund_obstruction,telehealth_glp1_programs,"Complaint Counts I–VIII: cost, weight-loss, testimonials, reviews, membership terms, unauthorized charges, cancel/refund, EFTA.",full-text,https://www.ftc.gov/system/files/ftc_gov/pdf/Complaint-NextMed_0.pdf,2025_ftc_nextmed,False
