vendor_name,vendor_slug,product_name,sku,size_label,listed_price_usd,price_per_mg_usd,lot_or_batch,lab_name,lab_id,verification_status,verified,janoshik_unique_key,janoshik_task_number,purity_pct,coa_url,analytes_present,commissioning_party,data_quality,endotoxin,enforcement_risk_flags,entity_type,id,methods_present,notes,peptide_identity,pharmacy_lists_peptide,scraped_at,source_url,sterility_status,strength_mg,vendor_url,verification_key_present
Panda Peptides,panda_peptides,5-Amino-1MQ 40mg,PP-001,40mg,44.99,1.1248,PP2603-001B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,CQA3S9ZDKX3W,212696,,https://pandapeptides.com/coa/,['amount'],vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_b077b8777619d0c2,['HPLC'],amount 40.29 mg stated; purity not stated on hub card COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212696&key=CQA3S9ZDKX3W (Open report + verify.janoshik.com Test Report #212696). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,5-Amino-1MQ,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,40.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,AOD-9604,PP-003,,29.99,,PP2603-003A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,HAR3HE1I6FHK,212704,99.906,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_0142d214e6710db8,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212704&key=HAR3HE1I6FHK (Open report + verify.janoshik.com Test Report #212704). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,AOD-9604,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,ARA-290 10mg,PP-042,10mg,44.99,4.499,PP2603-042,Janoshik Analytical,janoshik,verified_on_lab_portal,True,6T834R4V7UXU,212692,98.431,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_22b5ce1193de3661,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212692&key=6T834R4V7UXU (Open report + verify.janoshik.com Test Report #212692). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,ARA-290,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,BPC-157,PP-006,,24.99,,PP2602-006B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,KWGQZ94PNYH3,194141,99.557,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,3.059 EU/Vial,[],RUO,pqi_3e0189a4deef8e2b,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194141&key=KWGQZ94PNYH3 (Open report + verify.janoshik.com Test Report #194141). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,BPC-157,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,BPC/TB Blend,PP-007,,42.99,,PP2602-007A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,LZTKPBRRZ828,152434,,https://pandapeptides.com/coa/,['identity'],vendor,complete_lot_coa,,[],RUO,pqi_14fe176e8bbeef2f,[],hub: multi-component verified; purity not numeric on card COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152434&key=LZTKPBRRZ828 (Open report + verify.janoshik.com Test Report #152434). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,BPC/TB Blend,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Cagrilintide,PP-014,,39.99,,PP2601,Janoshik Analytical,janoshik,verified_on_lab_portal,True,21WR7653NN8Q,113207,99.63,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,['glp_analog_or_metabolic_peptide_listed'],RUO,pqi_9971befdfc08b39b,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=113207&key=21WR7653NN8Q (Open report + verify.janoshik.com Test Report #113207). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Cagrilintide,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,CJC-1295 (NO DAC) + Ipamorelin,PP-008,,49.99,,PP2602-008AA / PP2602-008AB,Janoshik Analytical,janoshik,verified_on_lab_portal,True,8I3SQMQM5UN1,168114,,https://pandapeptides.com/coa/,"['amount', 'endotoxin']",vendor,complete_lot_coa,<1 EU/Vial,[],RUO,pqi_7e6ca76f6088594e,[],amount Ipamorelin 4.86mg; CJC-1295 5.07mg on PP2602-008AB COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=168114&key=8I3SQMQM5UN1 (Open report + verify.janoshik.com Test Report #168114). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,CJC-1295,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,CJC-1295 (NO DAC) 5mg,PP-043,5mg,30.79,6.158,PP2602-043,Janoshik Analytical,janoshik,verified_on_lab_portal,True,CUDFML9VKXP1,168148,99.624,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,<1 EU/Vial,[],RUO,pqi_5a86513acc86a71f,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=168148&key=CUDFML9VKXP1 (Open report + verify.janoshik.com Test Report #168148). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,CJC-1295,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,5.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,CJC-1295 (WITH DAC) 5mg,PP-009,5mg,39.99,7.998,PP2602-009A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,N9ZFIRGHBZ1J,152437,98.178,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_079094e89e5fac26,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152437&key=N9ZFIRGHBZ1J (Open report + verify.janoshik.com Test Report #152437). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,CJC-1295,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,5.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Double Receptor Agonist,PP-DRA,,28.99,,PP2602-017BB,Janoshik Analytical,janoshik,verified_on_lab_portal,True,RUMS755BBZLZ,194169,99.586,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,1.197 EU/Vial,['glp_analog_or_metabolic_peptide_listed'],RUO,pqi_3306ad9c33d2d202,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194169&key=RUMS755BBZLZ (Open report + verify.janoshik.com Test Report #194169). Source=lab_shortlink. Portal HTML exposes report image only; no structured purity/date copied.,Double Receptor Agonist,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
